#{"t_start": 1702839456.6788507, "env_id": "None"}
2.077404,130,19051.277633
7.734716,471,19069.303216
2.821,167,19076.149261
4.796248,368,19090.464011
2.346506,136,19096.137732
1.870626,108,19100.809033
6.891678,445,19117.953125
2.901655,180,19125.295882
2.629385,146,19131.348385
1.780485,107,19135.98173
4.255583,231,19145.211396
3.345031,185,19152.703067
3.215305,180,19160.010844
2.926411,162,19166.668996
8.653765,453,19184.233845
3.197809,184,19191.703529
3.043745,169,19198.632525
10.651139,548,19219.49247
19.741827,1001,19257.067756
14.280918,1001,19294.725993
9.865455,510,19314.187747
4.325853,259,19324.461809
11.295456,585,19346.756925
4.747247,263,19357.153917
18.989428,1001,19394.831143
19.449722,1001,19432.387439
19.385537,1001,19470.057671
19.322725,1001,19507.685926
7.881515,426,19524.096442
18.99235,1001,19561.773669
9.959112,526,19581.851066
19.353417,1001,19619.475324
12.35861,688,19645.670187
6.90681,399,19661.142245
19.437102,1001,19699.078322
13.338839,814,19729.962474
16.69118,1001,19767.614716
19.388531,1001,19805.544796
19.420077,1001,19843.196038
19.090472,1001,19880.836286
19.440572,1001,19918.520509
19.579051,1001,19956.164755
19.410081,1001,19993.850976
19.545218,1001,20031.511213
19.535523,1001,20069.313367
19.261098,1001,20107.027573
19.530574,1001,20144.726787
19.071331,1001,20182.428
19.624857,1001,20220.292118
19.39679,1001,20258.097271
19.70109,1001,20295.845457
19.627863,1001,20333.492701
19.667633,1001,20371.171926
19.710442,1001,20409.02705
19.5837,1001,20446.754248
19.68554,1001,20484.488442
19.682497,1001,20522.219637
19.693144,1001,20560.290637
19.645524,1001,20598.364634
19.693309,1001,20636.052854
19.68655,1001,20673.745072
19.569082,1001,20711.695141
19.695885,1001,20749.484303
19.714874,1001,20787.156533
19.716364,1001,20824.913713
19.690991,1001,20862.582945
19.703066,1001,20900.311143
19.665091,1001,20938.051332
19.692328,1001,20975.995405
19.67667,1001,21013.755584
19.683209,1001,21051.321874
19.654774,1001,21089.094046
19.64126,1001,21126.677327
19.595737,1001,21164.563434
19.585152,1001,21202.434548
19.60117,1001,21240.056807
19.335684,1001,21277.815986
19.297601,1001,21315.536188
19.597669,1001,21353.397308
19.546692,1001,21391.158487
19.549394,1001,21428.793737
19.581079,1001,21466.545921
19.561099,1001,21504.468006
19.628971,1001,21542.231183
19.550035,1001,21580.087307
19.52636,1001,21617.8215
19.645634,1001,21655.513719
19.708016,1001,21693.227924
19.573455,1001,21731.021084
19.592376,1001,21768.676323
19.58809,1001,21806.448494
19.637958,1001,21844.470523
19.658757,1001,21882.343635
19.689055,1001,21920.096819
19.653299,1001,21957.832012
19.660307,1001,21995.847044
19.698213,1001,22033.592231
18.998416,1001,22071.381393
19.687705,1001,22109.167557
19.637776,1001,22147.053663
19.644904,1001,22185.277574
19.6124,1001,22223.035754
19.706134,1001,22260.861894
19.630885,1001,22298.69703
19.62196,1001,22336.597128
19.64362,1001,22374.266358
19.572836,1001,22412.369339
19.377772,1001,22450.231459
19.669778,1001,22488.076589
19.608179,1001,22525.986681
19.285096,1001,22564.976149
19.664089,1001,22602.979188
19.261591,1001,22641.353012
19.477368,1001,22679.369043
19.674916,1001,22717.318112
19.605123,1001,22755.265184
19.596538,1001,22793.373161
19.540374,1001,22831.350215
19.664644,1001,22869.296286
19.600788,1001,22907.236361
19.549954,1001,22945.113472
19.672623,1001,22983.18547
19.003189,1001,23021.25647
19.50267,1001,23059.236521
7.331884,392,23074.530683
19.202973,1001,23112.496743
19.406037,1001,23150.549753
19.578338,1001,23188.428863
19.54661,1001,23226.300977
19.576507,1001,23264.384969
19.4802,1001,23302.617874
18.750036,1001,23340.635904
10.356769,545,23361.594792
18.630216,1001,23399.71976
18.800512,1001,23437.602868
19.610057,1001,23475.627893
19.588676,1001,23513.641926
13.767928,826,23545.153715
19.524034,1001,23583.159752
19.643775,1001,23621.223755
19.32168,1001,23659.176822
12.82563,685,23685.404665
17.590841,1001,23723.454677
17.844471,1001,23761.62162
17.89134,1001,23799.608668
19.170804,1001,23837.686663
19.15971,1001,23875.70869
19.177391,1001,23913.795681
17.170582,1001,23951.855686
19.165264,1001,23990.413404
18.64626,1001,24028.536373
16.506827,1001,24066.578389
18.029551,1001,24104.891248
6.701772,358,24118.951124
18.955617,1001,24157.699732
19.63455,1001,24196.069557
19.571051,1001,24234.170539
18.701551,1001,24272.171579
5.178507,283,24283.437069
1.681631,103,24287.937468
19.537509,1001,24326.087422
11.827739,612,24349.646807
19.152676,1001,24387.7278
19.61396,1001,24425.808794
19.686723,1001,24463.903779
19.637286,1001,24501.925806
19.633757,1001,24540.027787
19.626801,1001,24578.142762
18.841619,1001,24616.623524
19.719943,1001,24654.737499
19.702178,1001,24692.871461
19.612739,1001,24731.006423
19.656359,1001,24769.224338
19.542193,1001,24807.385285
19.648247,1001,24845.419305
19.355121,1001,24883.53128
19.530671,1001,24921.634261
18.510602,1001,24959.812213
17.762633,1001,24997.914194
18.501647,1001,25036.082137
19.475359,1001,25074.217099
4.764878,262,25084.658066
18.387138,1001,25122.667101
18.273509,1001,25160.750093
18.044704,1001,25198.987996
18.171322,1001,25237.154939
17.954952,1001,25275.435817
19.1631,1001,25313.587769
18.315623,1001,25351.827671
18.841882,1001,25389.98562
18.741843,1001,25428.233517
16.869182,1001,25466.43644
18.97876,1001,25504.5754
19.746969,1001,25542.818299
19.134857,1001,25581.151147
19.317353,1001,25619.422031
14.627413,1001,25657.789859
0.068646,1001,25696.336583
7.188681,1001,25734.576485
3.82283,511,25754.503969
2.834792,416,25770.824537
1.541102,285,25782.3109
1.128916,555,25803.938401
2.010621,331,25817.043827
5.032967,327,25829.918388
2.675228,244,25839.779688
2.889322,214,25848.453676
5.536079,408,25864.363482
1.835262,1001,25902.879225
1.265536,192,25910.762669
1.91079,1001,25949.120502
1.681832,1001,25987.910085
1.711937,276,25998.967695
1.72899,1001,26037.360509
0.577217,1001,26075.747325
1.419928,86,26079.630082
1.569818,95,26083.85464
1.764443,104,26088.416005
2.126315,369,26102.90763
7.725888,1001,26141.203499
1.529606,1001,26179.593314
11.040497,1001,26217.692297
10.322074,1001,26255.880229
10.986684,1001,26294.039177
11.389421,1001,26332.211118
14.285497,1001,26370.344081
14.043305,1001,26408.645947
16.819511,1001,26446.897841
18.266765,1001,26485.096767
18.904595,1001,26523.220736
18.710045,1001,26561.452642
19.028255,1001,26599.747511
17.893525,1001,26638.051376
18.601375,1001,26676.330255
18.222182,1001,26714.508192
18.973291,1001,26752.850035
19.133043,1001,26791.095933
2.650758,157,26797.655143
17.941612,1001,26835.886049
18.826997,1001,26874.493738
17.252058,1001,26913.188377
18.186532,1001,26951.562201
17.805956,1001,26990.107926
19.596349,1001,27028.369814
18.845116,1001,27066.558746
19.282842,1001,27104.851616
19.564199,1001,27143.160478
19.603097,1001,27181.497324
10.982028,576,27203.854404
19.614925,1001,27242.19025
18.811767,1001,27280.595057
19.331245,1001,27318.975877
19.357435,1001,27357.449643
19.546288,1001,27395.758505
19.503248,1001,27434.225275
7.748496,420,27450.787704
3.22138,187,27458.522234
9.160944,495,27477.935015
10.569548,554,27499.43659
19.615439,1001,27537.78343
19.542886,1001,27576.254198
19.523995,1001,27614.816913
19.511973,1001,27653.379628
19.470229,1001,27691.926353
19.281285,1001,27730.429102
19.080269,1001,27769.408576
19.567654,1001,27808.262123
19.600324,1001,27846.807847
19.29649,1001,27885.378558
19.678292,1001,27924.035219
19.646053,1001,27962.442024
19.66526,1001,28001.085693
19.607363,1001,28041.105565
19.532058,1001,28079.923133
19.567525,1001,28118.67274
19.595502,1001,28157.327402
19.391911,1001,28196.309874
19.565812,1001,28235.010509
19.518744,1001,28274.632613
19.267073,1001,28313.564114
19.646989,1001,28352.415662
19.155724,1001,28391.248222
19.364722,1001,28430.094772
19.346619,1001,28468.942323
19.328075,1001,28507.868828
19.10532,1001,28546.849301
18.837924,1001,28585.703848
19.534135,1001,28624.561393
19.589158,1001,28663.579844
0.056034,21,28665.066985
0.0049,19,28666.455182
19.522425,1001,28705.698504
18.950155,976,28743.679555
19.525265,1001,28782.458145
14.952758,774,28812.872569
19.474748,1001,28851.864036
19.665294,1001,28890.822523
19.526916,1001,28929.86596
19.627023,1001,28968.954371
19.546349,1001,29007.981818
19.574264,1001,29047.022257
19.699644,1001,29085.996733
19.614125,1001,29125.159102
19.615202,1001,29164.229523
19.561567,1001,29203.367906
19.622308,1001,29242.599235
19.688578,1001,29281.83656
19.686779,1001,29320.882995
19.675297,1001,29359.967409
19.566818,1001,29399.596508
18.349454,1001,29438.73489
12.337353,1001,29477.892262
6.629338,1001,29517.249517
0.174501,95,29521.610996
19.12272,1001,29560.724393
19.328774,1001,29600.104635
19.677992,1001,29639.251013
19.466611,1001,29678.41838
19.045281,1001,29717.526779
19.513106,1001,29756.924011
18.956785,1001,29796.194318
19.391717,1001,29835.381672
19.21859,1001,29874.560031
19.015375,1001,29913.75638
17.296901,1001,29952.902758
18.869346,1001,29992.255017
19.439299,1001,30031.490342
19.24031,1001,30070.693688
19.503119,1001,30110.213849
19.272286,1001,30149.796974
19.478596,1001,30189.097264
19.479978,1001,30228.378563
17.935318,1001,30267.763803
17.5007,1001,30307.143045
15.267377,1001,30346.657211
17.926596,1001,30385.949504
19.627476,1001,30425.409701
19.4696,1001,30464.753964
19.000831,1001,30504.452023
19.501796,1001,30543.866246
19.350229,1001,30583.212508
19.571823,1001,30622.708683
18.914875,1001,30662.1349
18.508727,1001,30701.529134
19.483863,1001,30740.95535
19.222406,1001,30780.385564
17.9203,1001,30819.777799
19.353486,1001,30859.630769
18.331982,971,30897.916644
0.758952,84,30901.841376
1.263105,200,30910.282498
-0.019605,16,30911.564757
-0.019985,16,30912.863007
-0.029773,15,30914.129275
-0.028893,15,30915.364561
-0.032785,15,30916.614838
-0.028074,15,30917.854122
-0.02567,15,30919.097404
-0.033693,15,30920.373666
-0.029661,15,30921.642933
-0.026453,15,30922.930189
-0.021265,16,30924.251425
-0.028746,15,30925.481714
-0.028555,16,30926.781962
-0.021511,16,30928.073217
-0.026519,16,30929.34848
-0.029413,16,30930.642732
-0.02931,16,30931.916996
-0.026884,16,30933.216245
-0.023494,17,30934.537481
0.277396,49,30937.110994
0.214307,108,30941.951197
1.565489,1001,30981.283467
1.336235,1001,31020.66171
1.376,1001,31060.303802
8.37751,1001,31099.77899
10.47367,1001,31139.160231
14.070057,1001,31180.65825
16.992037,1001,31228.341695
13.772596,1001,31275.516433
16.26505,1001,31317.462193
8.950338,1001,31360.593268
16.144784,1001,31405.916077
7.441067,1001,31446.901391
5.93552,1001,31487.150132
6.896351,1001,31530.790912
7.679719,1001,31578.085581
11.149051,1001,31625.389245
13.151916,1001,31674.464885
6.937673,1001,31722.657035
6.57781,1001,31770.859179
17.982072,1001,31820.810313
9.657464,510,31848.636233
8.227444,438,31866.487917
17.309378,901,31902.363184
2.025954,120,31907.695103
1.997628,127,31913.282874
2.360013,145,31919.632205
2.094772,124,31925.094049
2.662603,151,31931.624275
12.248937,648,31957.558288
2.281649,138,31963.596798
3.882014,214,31972.615587
2.293765,133,31978.430226
4.167616,297,31990.671152
2.003042,122,31996.082025
2.303225,137,32002.067567
2.321917,151,32008.611785
2.208343,136,32014.558348
2.005327,127,32020.183098
2.509297,159,32027.019147
2.4316,159,32033.863193
2.739625,165,32040.975082
2.544486,156,32047.722183
2.335027,145,32054.025541
3.375504,195,32062.273774
2.16349,144,32068.530159
2.861884,183,32076.46957
2.995012,181,32084.164124
4.366244,247,32094.428192
2.244748,162,32101.447136
3.361235,211,32110.358986
11.910648,923,32146.965832
1.513424,141,32153.136266
2.004925,135,32159.11481
1.540432,151,32165.654032
1.314683,113,32170.763079
3.129956,194,32178.955345
2.083444,136,32184.904907
1.781696,130,32190.676572
1.433303,119,32195.978508
1.439935,147,32202.382806
1.11788,144,32208.631196
3.913368,368,32223.680498
2.984,1001,32263.197662
5.34193,1001,32303.114595
3.758691,1001,32342.689725
-0.382736,157,32349.60273
0.208241,1001,32389.048934
0.136887,47,32391.556485
0.133672,44,32393.933111
0.190593,55,32396.910391
0.203049,56,32399.793725
0.190572,73,32403.300698
-0.12445,96,32407.696158
0.087911,66,32410.930289
0.198466,57,32413.792634
0.200268,43,32416.134282
0.191197,43,32418.458938
0.191938,48,32420.995472
0.212198,44,32423.369101
0.195308,42,32425.663775
0.256265,38,32427.806536
0.111157,33,32429.770401
0.156835,34,32431.78024
0.141402,31,32433.637167
0.169318,31,32435.50109
0.110353,29,32437.323037
0.158324,31,32439.170969
0.099196,28,32440.944944
0.123773,30,32442.768889
0.090773,28,32444.51588
0.094779,28,32446.271866
0.114864,30,32448.087816
0.13381,31,32449.953737
0.13322,30,32451.794673
0.108226,30,32453.623617
0.183371,33,32455.572491
0.158544,34,32457.555344
0.133351,32,32459.521209
0.128391,32,32461.506062
0.205361,35,32463.528893
0.222154,35,32465.556721
0.167719,35,32467.600539
0.144765,35,32469.605381
0.165941,35,32471.643203
0.209975,37,32473.723001
0.233528,38,32475.850772
0.238108,39,32478.032511
0.214914,38,32480.174274
0.210796,38,32482.316036
0.179367,38,32484.469791
0.26859,39,32486.647533
0.190871,38,32488.790294
0.250149,41,32491.086967
0.259391,43,32493.424616
0.271019,43,32495.734282
0.362374,49,32498.322786
0.243762,47,32500.804351
0.248171,48,32503.344884
0.363964,47,32505.816455
0.257736,53,32508.521892
0.37082,47,32511.006456
0.299937,47,32513.535995
0.322908,49,32516.090518
0.261165,64,32519.281674
0.331382,1001,32558.652922
1.603831,1001,32598.150096
4.228881,1001,32637.431396
0.282102,1001,32677.085481
2.380013,1001,32716.596648
3.851465,1001,32756.054845
2.463721,1001,32795.460074
1.410063,1001,32834.951252
1.992088,1001,32874.410449
2.388628,1001,32913.811679
0.626546,1001,32953.337837
5.788182,1001,32992.703088
3.064532,225,33002.471444
7.290299,1001,33041.694777
6.347128,1001,33081.049034
2.000464,191,33089.083391
4.46063,519,33109.824405
9.768641,1001,33149.133689
10.869243,1001,33188.583891
10.585328,1001,33228.181008
9.847321,1001,33267.589234
11.656223,1001,33307.091407
10.074259,1001,33346.620563
10.693854,1001,33386.16671
6.586108,1001,33425.618911
10.268703,1001,33464.986161
6.094105,1001,33504.697212
7.360745,1001,33544.212377
7.696487,1001,33583.691563
12.327352,1001,33623.229714
8.777125,888,33658.339425
4.088685,369,33673.344753
4.143841,419,33690.230994
10.369934,1001,33729.72817
3.623578,258,33740.372018
4.166374,355,33754.775694
3.085777,319,33767.816159
5.517407,476,33786.863152
0.868046,76,33790.471066
12.808943,1001,33829.851309
0.307273,46,33832.298895
1.681374,1001,33871.915001
1.728898,1001,33911.946867
3.486041,278,33923.399249
13.217136,893,33959.221547
16.853867,1001,33998.473864
17.758457,1001,34037.905077
17.5212,1001,34077.482206
11.111482,648,34103.874954
3.602047,240,34113.982113
2.982233,192,34122.097423
12.537398,724,34150.985729
0.468398,58,34153.931027
0.401399,56,34156.751397
0.789685,89,34160.889006
0.949651,87,34164.935667
0.780256,69,34168.282733
6.013761,349,34182.479529
5.811431,420,34199.62562
1.937471,133,34205.431265
2.93224,214,34214.411076
1.095851,106,34219.201308
0.956094,95,34223.5408
1.155994,108,34228.37001
1.998606,148,34234.849265
1.766976,135,34240.757851
1.539842,121,34246.113755
0.976335,93,34250.375292
0.914718,75,34253.952225
0.972746,151,34260.515433
1.08437,298,34272.820322
0.982142,1001,34312.50339
2.90138,908,34348.326688
2.181815,1001,34387.853845
6.405057,1001,34427.246081
5.478005,1001,34466.58035
17.709563,1001,34505.89663
17.253264,1001,34545.293863
18.242404,1001,34584.575162
18.500145,1001,34623.976393
18.334588,1001,34663.274683
13.985471,770,34693.803041
17.150015,1001,34733.269233
9.90626,559,34755.522373
16.481315,1001,34794.86164
15.459754,1001,34834.585683
18.864085,1001,34873.99491
13.085428,722,34902.526421
19.077503,1001,34942.080563
15.70163,1001,34981.708663
19.448527,1001,35021.846468
19.703893,1001,35061.340645
19.654971,1001,35100.913775
19.678249,1001,35140.324
15.992619,1001,35179.908125
19.483172,1001,35219.426288
19.615201,1001,35258.972435
19.587486,1001,35298.544566
19.327739,1001,35338.165669
19.556193,1001,35377.680835
19.516296,1001,35417.429864
19.609338,1001,35457.223868
19.575723,1001,35496.889945
19.650441,1001,35536.592001
18.297399,1001,35576.304052
1.813938,122,35581.746907
19.302879,1001,35621.48894
17.036153,1001,35661.234972
16.244829,1001,35700.982002
19.360388,1001,35740.613099
18.846959,1001,35780.377121
18.967111,1001,35820.170125
19.142296,1001,35859.988114
19.262363,1001,35900.083943
18.451976,1001,35940.246734
19.374858,1001,35980.089709
19.417367,1001,36020.310466
17.635603,1001,36060.151442
19.339046,1001,36100.04139
16.805694,1001,36139.938334
17.552406,1001,36179.889247
17.911504,1001,36219.798183
18.833446,1001,36259.705122
19.580575,1001,36299.640044
19.47976,1001,36339.657917
19.021185,1001,36379.567854
18.29121,1001,36419.585728
19.107932,1001,36459.669564
19.139827,1001,36499.856341
1.77296,151,36506.465522
19.683862,1001,36546.541362
19.649871,1001,36586.480282
19.488975,1001,36627.017856
19.528744,1001,36667.108688
19.542509,1001,36707.154546
19.116393,1001,36747.245377
19.408137,1001,36787.339208
19.632325,1001,36828.308532
19.496575,1001,36869.061981
19.448779,1001,36909.276741
19.454158,1001,36949.480508
19.663068,1001,36989.838185
19.510182,1001,37030.088925
19.52556,1001,37070.31168
19.485658,1001,37110.682351
19.595395,1001,37150.98506
19.683411,1001,37191.234801
0.15684,37,37193.391554
19.502085,1001,37233.987095
19.660237,1001,37274.241832
19.576206,1001,37314.586517
18.518148,1001,37354.736315
19.294003,1001,37395.14896
13.638455,788,37427.122483
4.509903,286,37439.159528
18.381211,1001,37479.411266
19.294297,1001,37519.797927
19.51331,1001,37560.208574
19.692867,1001,37600.576246
18.32287,1001,37640.908938
16.506114,1001,37681.671382
18.225603,1001,37722.120007
19.631494,1001,37762.415721
18.025991,1001,37803.015259
1.228387,91,37807.454694
4.710952,268,37818.739172
19.432046,1001,37859.208785
19.463739,1001,37899.60644
19.385463,1001,37939.932136
14.08153,751,37970.347559
19.132185,1001,38010.619287
0.18633,28,38012.400258
19.474838,1001,38052.896854
19.37962,1001,38093.042655
19.337039,1001,38133.430315
19.365564,1001,38173.842961
19.518175,1001,38214.278594
19.39353,1001,38254.608288
19.272842,1001,38295.152886
19.407828,1001,38335.576526
19.334527,1001,38375.97518
19.334534,1001,38417.151385
19.381645,1001,38457.615001
19.404986,1001,38498.008658
19.519573,1001,38538.6012
19.492575,1001,38579.086804
19.590069,1001,38619.783286
19.511739,1001,38660.49276
19.644961,1001,38700.961374
19.452817,1001,38741.37302
19.52183,1001,38781.802657
19.674642,1001,38822.310247
19.487594,1001,38862.733887
19.578916,1001,38903.379399
19.708887,1001,38943.868001
19.441097,1001,38984.219682
19.654152,1001,39024.777244
19.605905,1001,39065.273842
19.466078,1001,39105.737458
0.628867,910,39142.613147
0.251552,37,39144.761906
0.232244,40,39147.024599
0.377123,58,39150.012871
0.359745,95,39154.448308
0.202259,1001,39194.921919
0.254322,1001,39235.332566
0.177077,1001,39275.81917
0.480012,174,39283.388795
0.554055,503,39304.115817
0.380342,1001,39344.588428
0.865415,1001,39385.024061
19.580392,1001,39425.766516
19.299191,1001,39466.189157
19.63185,1001,39506.833669
18.583462,1001,39547.372241
19.538236,1001,39587.872837
19.636566,1001,39628.440394
19.576635,1001,39668.915004
19.688149,1001,39709.196725
19.747858,1001,39749.594379
19.720733,1001,39790.01602
19.531777,1001,39830.363704
19.720191,1001,39870.720382
19.597111,1001,39911.113039
19.566463,1001,39951.62263
19.654684,1001,39992.018285
19.633475,1001,40032.506887
19.632204,1001,40073.042462
19.627392,1001,40113.448112
19.482482,1001,40153.859759
19.511148,1001,40194.319378
19.529969,1001,40235.389643
17.447354,1001,40275.83627
19.628552,1001,40316.263907
14.419123,740,40346.28056
19.598567,1001,40386.750174
19.572685,1001,40427.92438
18.973982,1001,40468.385997
17.736584,1001,40508.870601
18.46382,1001,40549.335217
19.592611,1001,40589.99672
4.282359,232,40599.914988
19.685888,1001,40640.387599
11.096076,574,40663.875026
7.97903,418,40681.361921
2.141491,125,40687.009657
2.333029,133,40692.969213
3.820839,210,40702.003992
7.720663,409,40718.93121
4.185349,241,40729.215267
5.090463,275,40740.853541
4.883735,270,40752.255952
10.566944,553,40774.854892
7.823283,422,40792.372769
19.505905,1001,40832.977304
19.584143,1001,40873.472902
19.16637,1001,40913.971498
3.970675,236,40924.096647
17.815936,1001,40964.507294
19.085137,1001,41004.998894
19.449248,1001,41045.504487
18.455311,1001,41085.934122
19.617334,1001,41126.448709
18.667788,1001,41167.01027
19.499949,1001,41207.580824
19.509079,1001,41248.384244
19.473296,1001,41289.167676
19.691217,1001,41330.491795
19.657,1001,41371.039363
19.67234,1001,41412.041668
19.462227,1001,41452.58224
19.560265,1001,41493.219756
19.70602,1001,41533.857272
19.662997,1001,41574.425828
19.649417,1001,41614.98539
19.579045,1001,41655.66788
19.257846,1001,41696.294402
19.328097,1001,41737.04985
19.553695,1001,41777.673374
19.46038,1001,41818.32888
19.622856,1001,41859.004374
19.654129,1001,41899.737834
19.660309,1001,41940.448308
19.589535,1001,41981.07583
19.632393,1001,42021.882248
19.685511,1001,42062.606714
19.641391,1001,42103.303195
19.470697,1001,42144.134599
19.352015,1001,42185.074941
